Unit,Gd Pt,radius,Spp,DBH,DBH 22,Class,CLASS 22,Comments,COMMENTS 22
D2,A050,2.52,Sx,4.1,5.2,1,1,o,uknown def minor
D2,A050,2.52,Hw,6.8,8.4,1,1,o,
D2,A050,2.52,Ba, ,4.1, ,1,o,
D2,A150,3.99,Hw,5.7,7.3,1,1,o,
D2,A150,3.99,Hw,7.1,8.8,1,1,o,
D2,A150,3.99,Hw,7.3,8.2,1,1,o,
D2,A150,3.99,Hw,5.2,5.9,1,1,o,
D2,B000,3.99,Ba, ,9.9, ,1,,
D2,B000,3.99,Ba, ,7.5, ,1,,
D2,B000,3.99,Sx,,7.2,,1,,unknown defoliator
D2,B100,3.99,Hw,4, ,,,,not found
D2,B100,3.99,Hw,5.6, ,,,,not found
D2,B100,3.99,Pl, ,8.3,,2,,
D2,B100,3.99,Hw, ,6.8,,1,,
D2,B100,3.99,Hw,,5.0,,1,,
D2,B100,3.99,Hw,,6.1,,1,,
D2,B100,3.99,Hw,,6.8,,1,,
D2,B100,3.99,Pl,,7.2,,1,,
D2,C100,2.52,Cw,5.1,6.0,,1,,
D2,C100,2.52,Cw,7,7.1,,1,,
D2,C100,2.52,Hw,4,NA,,NA,,out - DBH 3.8
D2,C100,2.52,Hw,5.2,5.3,,1,,
D2,C350,2.52,Hw,7,8.1,,1,,
D2,D200,3.99,Hw,4.5,4.5,,1,,
D2,D200,3.99,Hw,4.9,5.0,,1,,
D2,D200,3.99,Hw,7,8.3,,1,,
D2,D200,3.99,Hw,8,,,,,not found
D2,D200,3.99,Hw,8,,,,,not found
D2,D200,3.99,Pl,9.3,,,,,now tree 674
D2,D300,2.52,Cw,8.5,6.6,,2,,d good
D2,D450,1.26,Bl,7.7,8.5,,1,,
D2,D450,1.26,Bl,8.1,,,,,now tree 664
D2,D450,1.26,Hw,4,4.3,,1,,
D2,D450,1.26,Hw,4.7,5.0,,1,,
D2,D450,1.26,Hw,5,7.7,,1,,
D2,D450,1.26,Hw,5.2,6.4,,1,,
D2,D450,1.26,Hw,8.3,6.7,,1,,d good
D2,D450,1.26,Sx,9.1,9.8,,1,,SPP
D2,E300,2.52,Hw,8.8,8.4,,1,,
D2,E300,2.52,Pl,7.2,7.0,,2,,
D2,E300,2.52,Sx,9.5,,,,,now tree 676
D2,E300,2.52,Hw,,4.8,,1,,
D2,F150,3.99,Sx,8.9,9.6,1,1,,
D2,F150,3.99,Sx,8.6,,1,,,now in Large
D2,F150,3.99,Hw,6.6,7.7,1,1,,
D2,F150,3.99,Hw,,4.7,,1,,
D2,F150,3.99,Hw,,5.4,,1,,
D2,F150,3.99,Hw,,4.7,,1,,
D2,F150,3.99,Hw,4.4,7.9,1,1,,
D2,F250,2.52,Hw,5.9,7.0,1,1,,
D2,F250,2.52,Hw,6.8,7.9,1,1,,
